bio,narcissistic,toxic,cringe,healthy
"Love hiking with my golden retriever and cooking Italian food. Looking for someone to share Sunday brunch with.",0,0,0,0.95
"If you don't look like your photos don't even bother. Tired of the games and the fakes on here.",0.3,0.8,0.2,0.05
"Just a simple guy who enjoys vinyl records and weekend camping trips. Let's talk about our favorite albums.",0.05,0,0.1,0.9
"I’m the best thing that’s ever going to happen to you. Consider yourself lucky if I swipe right.",1,0.9,0.3,0.0
"Fluent in sarcasm and probably better at Mario Kart than you. Partner in crime wanted.",0.1,0.1,0.9,0.4
"My ex says I'm crazy but she's the one who couldn't handle a real man. No drama please.",0.6,0.95,0.4,0.0
"Currently learning pottery and training for a half-marathon. I value communication and kindness.",0,0,0,0.98
"I’m an alpha male looking for a traditional woman who knows her place. No feminists.",0.9,1,0.5,0.0
"Not looking for anything serious. Just here to see who's hotter in person.",0.7,0.4,0.3,0.1
"Recent grad working in architecture. I love exploring city skylines and local bookstores.",0,0,0,0.92
"I have 5 kids and they are my world. If you don't like it there's the door.",0.2,0.6,0.2,0.4
"Looking for a queen to spoil. I’m a CEO, I travel 300 days a year, I only want the best.",0.9,0.5,0.6,0.2
"Love a good deep conversation over a glass of red wine. Tell me your life story.",0.05,0,0.1,0.85
"I’m only here because my friends made me join. I probably won't message first.",0.4,0.1,0.7,0.2
"Venmo me $5 and see what happens. Just kidding... unless?",0.2,0.5,1,0.0
"Volunteer at the local animal shelter on Saturdays. Big fan of sci-fi novels and jazz.",0,0,0,0.97
"Why is everyone on here so boring? Entertain me.",0.85,0.8,0.4,0.0
"School of Hard Knocks. I tell it like it is and if you're sensitive, keep moving.",0.7,0.9,0.5,0.05
"Avid traveler—30 countries and counting. Looking for a co-pilot for the next adventure.",0.2,0,0.2,0.8
"I don't have a bio because my face should be enough for you.",1,0.6,0.4,0.0
"I respond to 'hey' with 'goodbye'. Give me an actual opening line.",0.3,0.6,0.5,0.2
"Yoga enthusiast and plant parent. Seeking someone who values emotional intelligence.",0,0,0,0.95
"My kids come first, second, and third. You will always be fourth. Deal with it.",0.2,0.7,0.1,0.3
"Entrepreneur. Hustle 24/7. If you aren't about your grind, we won't match.",0.8,0.4,0.7,0.1
"Into photography and long walks on the beach (cliché, I know!). Let's take some pics together.",0,0,0.3,0.88
"Looking for my future ex-wife. Swipe right for a bad time.",0.1,0.5,0.9,0.1
"I’m a nice guy, but girls only like jerks. Prove me wrong.",0.5,0.9,0.8,0.0
"Software engineer by day, amateur chef by night. I make a mean lasagna.",0,0,0,0.94
"I’m literally just here for the dog in your photos.",0.1,0,0.8,0.5
"Not active on here, follow my IG: @FakeHandle123",0.5,0.1,0.7,0.1
"Self-proclaimed nerd. I love board games, D&D, and making people laugh.",0,0,0.2,0.92
"If you're a Gemini, don't even bother. I can't deal with that energy again.",0.2,0.8,0.6,0.1
"I’ve been told I’m intimidating because I’m so successful. Looking for someone on my level.",0.95,0.6,0.4,0.05
"Loves 80s movies and karaoke. Looking for someone who doesn't take themselves too seriously.",0,0,0,0.96
"I’m looking for a partner who is fit. No lazy people or couch potatoes.",0.6,0.7,0.3,0.1
"Professional overthinker and coffee addict. Let's go to a museum.",0,0,0.4,0.85
"I have very high standards because I provide a very high lifestyle.",0.9,0.7,0.5,0.0
"Just looking for someone to go to concerts with and vibe.",0,0,0.2,0.8
"My life is a movie and I'm the main character. You can be an extra.",1,0.8,0.7,0.0
